"samples" "iterations" "index" "mean" "median" "sd"
450 9000 "simpson" 0.992824118518518 0.992849382716049 0.000441174878600612
450 9000 "shannon" 5.18281952447891 5.18375803174331 0.043664264073905
450 10000 "simpson" 0.992836099753086 0.992859259259259 0.000437602653575465
450 10000 "shannon" 5.18376809680837 5.18471642872091 0.0440978248150496
500 1000 "simpson" 0.993058192 0.993064 0.000429561718972262
500 1000 "shannon" 5.22461084873313 5.22477486400084 0.043993157316417
500 2000 "simpson" 0.993063248 0.993072 0.000401225150391463
500 2000 "shannon" 5.22499465154394 5.22411450350366 0.0413053990355451
500 3000 "simpson" 0.993056725333333 0.99308 0.000413743729679987
500 3000 "shannon" 5.22481764272513 5.22593151624004 0.0423360408961076
500 4000 "simpson" 0.99303463 0.993056 0.000421187740655186
500 4000 "shannon" 5.22242267697331 5.22328159620886 0.0425170066530519
500 5000 "simpson" 0.9930499408 0.993072 0.000413394160870481
500 5000 "shannon" 5.22420638048395 5.22454963935323 0.0423196532426603
500 6000 "simpson" 0.993052625333333 0.993072 0.00041528916328234
500 6000 "shannon" 5.22422461686868 5.22468283334251 0.0428435569684863
500 7000 "simpson" 0.993052934857143 0.99308 0.000408909764668807
500 7000 "shannon" 5.22458745164998 5.22517567230187 0.0420097710640893
500 8000 "simpson" 0.993055871 0.99308 0.000407270825188387
500 8000 "shannon" 5.22519179497879 5.22536732344097 0.0418563267353139
500 9000 "simpson" 0.993051707555556 0.993072 0.000409195635818283
500 9000 "shannon" 5.22419133182019 5.22527674567628 0.0421398827433026
500 10000 "simpson" 0.9930573936 0.99308 0.000413494130089652
500 10000 "shannon" 5.22513376834963 5.22573038995286 0.0422870743334656
