"little_n" "big_n" "statistic" "mean" "median" "sd"
200 456 "simpson" 0.9906625 0.9907 0.000671527884528789
200 456 "shannon" 4.85460872293354 4.85262786144843 0.0460667201386882
200 456 "unique" 146.046 146 4.70616957110897
200 712 "simpson" 0.99056785 0.9906 0.000565507450150907
200 712 "shannon" 4.80849564735126 4.80740024103943 0.0468152432911166
200 712 "unique" 138.428 138 5.08868457567482
200 1224 "simpson" 0.9901539 0.9902 0.000696300671136134
200 1224 "shannon" 4.7844902845517 4.78307233455294 0.0508921712027112
200 1224 "unique" 136.765 136 5.17963353950871
200 2248 "simpson" 0.99021955 0.9903 0.00070880371062813
200 2248 "shannon" 4.78976458321735 4.79041766887064 0.0524668063898436
200 2248 "unique" 137.256 137 5.38492910459009
200 4296 "simpson" 0.9902606 0.9903 0.000732665980812158
200 4296 "shannon" 4.79677052967024 4.79523628779618 0.0531604535244618
200 4296 "unique" 138.293 138 5.43108162778351
250 251 "simpson" 0.989938368 0.98992 6.21021839974747e-05
250 251 "shannon" 4.81531621603815 4.81579061410758 0.00387924232331736
250 251 "unique" 146.685 147 0.464748309293309
250 252 "simpson" 0.990299552 0.990272 7.83423309381108e-05
250 252 "shannon" 4.85079871122897 4.85064575317945 0.00574343152424877
250 252 "unique" 153.205 153 0.685160159703153
250 254 "simpson" 0.991414112 0.991392 9.19117142654795e-05
250 254 "shannon" 4.93150738017765 4.93131790375267 0.00805316832107677
250 254 "unique" 161.301 161 1.01854623676907
250 258 "simpson" 0.99263888 0.99264 8.64537555682358e-05
250 258 "shannon" 5.04339434869428 5.04334815494608 0.00964593896106238
250 258 "unique" 174.17 174 1.3685660279917
250 266 "simpson" 0.991643456 0.991648 0.000168709000325381
250 266 "shannon" 4.95791341938086 4.95780061482766 0.0151818611297637
250 266 "unique" 164.872 165 1.93632780421223
250 282 "simpson" 0.99109792 0.991104 0.00024885710650785
250 282 "shannon" 4.90746938702592 4.90775557488926 0.0195212095480713
250 282 "unique" 157.81 158 2.51758579560623
250 314 "simpson" 0.992343936 0.992352 0.000252135995971352
250 314 "shannon" 5.0142665051239 5.01527376158618 0.0244582444010588
250 314 "unique" 169.661 170 3.37156439156166
250 378 "simpson" 0.991521632 0.99152 0.000361495227320328
250 378 "shannon" 4.93614694450886 4.93631789519977 0.0324787368539302
250 378 "unique" 161.02 161 4.14931522263817
250 506 "simpson" 0.991237568 0.991264 0.000477718943276026
250 506 "shannon" 4.91829941278814 4.92065245707754 0.0408203639009008
250 506 "unique" 159.831 160 5.02689851784464
250 762 "simpson" 0.991252224 0.991296 0.000561404742684909
250 762 "shannon" 4.92820277777928 4.92743677788114 0.0450245918569856
250 762 "unique" 161.497 161 5.43779004381013
250 1274 "simpson" 0.991126592 0.991168 0.00058310076662618
250 1274 "shannon" 4.91424978533126 4.91371608114799 0.0474365655606061
250 1274 "unique" 159.776 160 5.72910522216573
250 2298 "simpson" 0.991382464 0.991424 0.000601348322113323
250 2298 "shannon" 4.94144176135297 4.94207336469199 0.0496039214987051
250 2298 "unique" 163.237 163 6.01556464664939
